table,setting,metric,model,score,delta,paired_p
BSA,common,ACC,EviDDIE,0.6075311720698254,,
BSA,common,ACC,EviDDIE w/o BSA,0.5651870324189526,-0.0423441396508728,0.04795973026318154
BSA,common,F1,EviDDIE,0.6258680450554704,,
BSA,common,F1,EviDDIE w/o BSA,0.34556050939621397,-0.2803075356592565,0.005986546509676095
BSA,fewer,ACC,EviDDIE,0.5821078431372549,,
BSA,fewer,ACC,EviDDIE w/o BSA,0.5517156862745097,-0.030392156862745212,0.028192788911838056
BSA,fewer,F1,EviDDIE,0.5993874630776779,,
BSA,fewer,F1,EviDDIE w/o BSA,0.38055236675109844,-0.21883509632657944,0.0012737351445746916
EVI,common,F1,EviDDIE,0.6258680450554704,,
EVI,common,F1,EviDDIE w/o EVI,0.5854177456623011,-0.04045029939316935,0.05597573765017562
EVI,fewer,F1,EviDDIE,0.5993874630776779,,
EVI,fewer,F1,EviDDIE w/o EVI,0.5219046597240072,-0.07748280335367064,0.08334463664920208
EVI,rare,F1,EviDDIE,0.7035766097013589,,
EVI,rare,F1,EviDDIE w/o EVI,0.6623081031203153,-0.04126850658104364,0.03101346917719653
