Dataset,Split,Event ID,Event description,Number of positive triples
Dataset 1,train,dataset1_train_001,#Drug1 may increase the anticholinergic activities of #Drug2.,323
Dataset 1,train,dataset1_train_002,The bioavailability of #Drug2 can be decreased when combined with #Drug1.,518
Dataset 1,train,dataset1_train_003,The metabolism of #Drug2 can be increased when combined with #Drug1.,5011
Dataset 1,train,dataset1_train_004,#Drug1 may increase the anticoagulant activities of #Drug2.,3160
Dataset 1,train,dataset1_train_005,The therapeutic efficacy of #Drug2 can be increased when used in combination with #Drug1.,244
Dataset 1,train,dataset1_train_006,#Drug1 may increase the hypoglycemic activities of #Drug2.,2109
Dataset 1,train,dataset1_train_007,The serum concentration of the active metabolites of #Drug2 can be reduced when #Drug2 is used in combination with #Drug1 resulting in a loss in efficacy.,312
Dataset 1,train,dataset1_train_008,#Drug1 may decrease the anticoagulant activities of #Drug2.,238
Dataset 1,train,dataset1_train_009,#Drug1 may increase the cardiotoxic activities of #Drug2.,202
Dataset 1,train,dataset1_train_010,#Drug1 may increase the central nervous system depressant (CNS depressant) activities of #Drug2.,5413
Dataset 1,train,dataset1_train_011,#Drug1 may decrease the neuromuscular blocking activities of #Drug2.,83
Dataset 1,train,dataset1_train_012,#Drug1 can cause an increase in the absorption of #Drug2 resulting in an increased serum concentration and potentially a worsening of adverse effects.,82
Dataset 1,train,dataset1_train_013,#Drug1 may increase the vasoconstricting activities of #Drug2.,109
Dataset 1,train,dataset1_train_014,#Drug1 may increase the QTc-prolonging activities of #Drug2.,6140
Dataset 1,train,dataset1_train_015,#Drug1 may increase the adverse neuromuscular activities of #Drug2.,94
Dataset 1,train,dataset1_train_016,#Drug1 may increase the stimulatory activities of #Drug2.,56
Dataset 1,train,dataset1_train_017,#Drug1 may increase the hypocalcemic activities of #Drug2.,180
Dataset 1,train,dataset1_train_018,#Drug1 may increase the atrioventricular blocking (AV block) activities of #Drug2.,716
Dataset 1,train,dataset1_train_019,#Drug1 may increase the neuroexcitatory activities of #Drug2.,936
Dataset 1,train,dataset1_train_020,#Drug1 may decrease the diuretic activities of #Drug2.,324
Dataset 1,train,dataset1_train_021,#Drug1 may increase the orthostatic hypotensive activities of #Drug2.,616
Dataset 1,train,dataset1_train_022,#Drug1 may increase the sedative activities of #Drug2.,1011
Dataset 1,train,dataset1_train_023,The risk or severity of QTc prolongation can be increased when #Drug1 is combined with #Drug2.,442
Dataset 1,train,dataset1_train_024,#Drug1 may increase the immunosuppressive activities of #Drug2.,312
Dataset 1,train,dataset1_train_025,#Drug1 may increase the neurotoxic activities of #Drug2.,69
Dataset 1,train,dataset1_train_026,#Drug1 may increase the antipsychotic activities of #Drug2.,94
Dataset 1,train,dataset1_train_027,#Drug1 may decrease the antihypertensive activities of #Drug2.,3089
Dataset 1,train,dataset1_train_028,#Drug1 may increase the constipating activities of #Drug2.,148
Dataset 1,train,dataset1_train_029,#Drug1 may increase the respiratory depressant activities of #Drug2.,300
Dataset 1,train,dataset1_train_030,The metabolism of #Drug2 can be decreased when combined with #Drug1.,34360
Dataset 1,train,dataset1_train_031,#Drug1 may increase the myopathic rhabdomyolysis activities of #Drug2.,69
Dataset 1,train,dataset1_train_032,The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,60751
Dataset 1,train,dataset1_train_033,#Drug1 may increase the hypercalcemic activities of #Drug2.,83
Dataset 1,train,dataset1_train_034,#Drug1 may increase the antiplatelet activities of #Drug2.,336
Dataset 1,train,dataset1_train_035,#Drug1 may increase the bradycardic activities of #Drug2.,1277
